id,time,pH,group
1,-0.004210526,7.100840336,Dense1
1,0.332631579,6.974789916,Dense1
1,0.753684211,6.697478992,Dense1
1,1.090526316,6.394957983,Dense1
1,1.427368421,6.092436975,Dense1
1,1.764210526,5.789915966,Dense1
1,2.101052632,5.588235294,Dense1
1,2.690526316,5.336134454,Dense1
1,3.111578947,5.18487395,Dense1
1,3.448421053,5.008403361,Dense1
1,4.037894737,4.932773109,Dense1
1,4.627368421,4.781512605,Dense1
1,5.301052632,4.731092437,Dense1
1,5.637894737,4.655462185,Dense1
1,5.974736842,4.554621849,Dense1
1,6.311578947,4.504201681,Dense1
1,6.732631579,4.478991597,Dense1
1,7.069473684,4.478991597,Dense1
1,7.490526316,4.504201681,Dense1
1,7.827368421,4.579831933,Dense1
1,8.08,4.731092437,Dense1
1,8.416842105,4.857142857,Dense1
1,8.669473684,4.983193277,Dense1
1,9.006315789,5.109243697,Dense1
1,9.427368421,5.134453782,Dense1
1,9.68,5.235294118,Dense1
1,10.26947368,5.285714286,Dense1
1,10.69052632,5.386554622,Dense1
1,11.02736842,5.487394958,Dense1
1,11.44842105,5.537815126,Dense1
1,11.86947368,5.56302521,Dense1
1,12.29052632,5.663865546,Dense1
1,12.79578947,5.764705882,Dense1
1,13.38526316,5.81512605,Dense1
1,13.72210526,5.941176471,Dense1
1,14.14315789,6.042016807,Dense1
1,14.64842105,6.142857143,Dense1
1,15.23789474,6.193277311,Dense1
1,15.74315789,6.243697479,Dense1
1,16.16421053,6.319327731,Dense1
1,16.58526316,6.420168067,Dense1
1,16.92210526,6.521008403,Dense1
1,17.34315789,6.596638655,Dense1
1,18.01684211,6.697478992,Dense1
1,18.60631579,6.74789916,Dense1
1,19.11157895,6.773109244,Dense1
1,19.61684211,6.87394958,Dense1
1,20.20631579,6.949579832,Dense1
1,20.79578947,7,Dense1
1,21.55368421,7.075630252,Dense1
1,22.05894737,7.100840336,Dense1
1,22.64842105,7.151260504,Dense1
1,23.23789474,7.151260504,Dense1
2,0,7.100840336,Sparse1
2,1.09,6.39,Sparse1
2,5.3,4.73,Sparse1
2,10.27,5.29,Sparse1
2,15.24,6.19,Sparse1
2,20.21,6.95,Sparse1
3,0,7.094594595,Dense2
3,0.051413882,7.081046342,Dense2
3,0.154241645,7.02692281,Dense2
3,0.257069409,6.878204683,Dense2
3,0.257069409,6.661988467,Dense2
3,0.30848329,6.513305079,Dense2
3,0.359897172,6.337594664,Dense2
3,0.411311054,6.134857222,Dense2
3,0.514138817,5.932085041,Dense2
3,0.565552699,5.742861113,Dense2
3,0.719794344,5.513027166,Dense2
3,0.822622108,5.323768499,Dense2
3,1.131105398,5.147884388,Dense2
3,1.233933162,4.985652748,Dense2
3,1.388174807,4.850413395,Dense2
3,1.491002571,4.701695269,Dense2
3,1.696658098,4.606961718,Dense2
3,1.953727506,4.525706941,Dense2
3,2.05655527,4.431042868,Dense2
3,2.159383033,4.295838255,Dense2
3,2.313624679,4.187625929,Dense2
3,2.519280206,4.079378865,Dense2
3,2.776349614,4.052178142,Dense2
3,2.982005141,4.065552699,Dense2
3,3.136246787,4.092475509,Dense2
3,3.290488432,4.159938859,Dense2
3,3.496143959,4.294935038,Dense2
3,3.753213368,4.375842423,Dense2
3,4.010282776,4.483776836,Dense2
3,4.267352185,4.632251789,Dense2
3,4.524421594,4.740186202,Dense2
3,4.832904884,4.848085875,Dense2
3,5.089974293,4.956020288,Dense2
3,5.347043702,5.050441187,Dense2
3,5.501285347,5.158445077,Dense2
3,5.758354756,5.26637949,Dense2
3,5.912596401,5.347356354,Dense2
3,6.375321337,5.414611269,Dense2
3,6.632390746,5.509032168,Dense2
3,6.786632391,5.617036059,Dense2
3,7.146529563,5.697873967,Dense2
3,7.66066838,5.805634684,Dense2
3,8.020565553,5.859445564,Dense2
3,8.483290488,5.926700479,Dense2
3,8.894601542,5.993990134,Dense2
3,9.305912596,5.966685194,Dense2
3,9.511568123,6.007086778,Dense2
3,9.768637532,6.020426596,Dense2
3,10.17994859,6.060689224,Dense2
3,10.48843188,6.087507816,Dense2
3,10.79691517,6.100812895,Dense2
3,11.2596401,6.114013757,Dense2
3,11.56812339,6.140832349,Dense2
3,11.92802057,6.208156743,Dense2
3,12.18508997,6.262037101,Dense2
3,12.49357326,6.288855694,Dense2
3,12.80205656,6.315674286,Dense2
3,13.11053985,6.315465851,Dense2
3,13.41902314,6.315257417,Dense2
3,13.67609254,6.355624262,Dense2
3,13.93316195,6.395991107,Dense2
3,14.19023136,6.436357952,Dense2
3,14.44730077,6.476724797,Dense2
3,14.96143959,6.557458487,Dense2
3,15.83547558,6.556867922,Dense2
3,16.3496144,6.543007017,Dense2
3,16.81233933,6.569721392,Dense2
3,17.1722365,6.623532273,Dense2
3,17.68637532,6.650211909,Dense2
3,18.20051414,6.663378031,Dense2
3,18.71465296,6.70357118,Dense2
3,19.12596401,6.757347322,Dense2
3,19.53727506,6.797609949,Dense2
3,20.05141388,6.837803099,Dense2
3,20.51413882,6.878030987,Dense2
3,20.87403599,6.972382408,Dense2
3,21.28534704,7.039672063,Dense2
3,21.95372751,7.039220454,Dense2
4,0,7.09,Sparse2
4,1.13,5.15,Sparse2
4,5.09,4.96,Sparse2
4,10.18,6.06,Sparse2
4,14.96,6.56,Sparse2
4,20.05,6.84,Sparse2
